PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26230690","Infections and Systemic Lupus Erythematosus: Binding or Sparring Partners?","Rigante D, Esposito S.","Int J Mol Sci. 2015 Jul 29;16(8):17331-43. doi: 10.3390/ijms160817331.","Rigante D","Int J Mol Sci","2015","2015/08/01","PMC4581196","","10.3390/ijms160817331"
"27228639","Vitamin D and Systemic Lupus Erythematosus: Myth or Reality?","Watad A, Neumann SG, Soriano A, Amital H, Shoenfeld Y.","Isr Med Assoc J. 2016 Mar-Apr;18(3-4):177-82.","Watad A","Isr Med Assoc J","2016","2016/05/28","","",""
"23395811","Systemic lupus erythematosus: a review of the disease and treatment options","Gurevitz SL, Snyder JA, Wessel EK, Frey J, Williamson BA.","Consult Pharm. 2013 Feb;28(2):110-21. doi: 10.4140/TCP.n.2013.110.","Gurevitz SL","Consult Pharm","2013","2013/02/12","","","10.4140/TCP.n.2013.110"
"29766256","Monogenic systemic lupus erythematosus: insights in pathophysiology","Batu ED.","Rheumatol Int. 2018 Oct;38(10):1763-1775. doi: 10.1007/s00296-018-4048-7. Epub 2018 May 15.","Batu ED","Rheumatol Int","2018","2018/05/17","","","10.1007/s00296-018-4048-7"
"29323451","Microvascular involvement in systemic sclerosis and systemic lupus erythematosus","Saygin D, Highland KB, Tonelli AR.","Microcirculation. 2019 Apr;26(3):e12440. doi: 10.1111/micc.12440.","Saygin D","Microcirculation","2019","2018/01/12","PMC6041191","NIHMS953645","10.1111/micc.12440"
"31653192","Associations between paraoxonase-1 and systemic lupus erythematosus","Bae SC, Lee YH.","Lupus. 2019 Nov;28(13):1571-1576. doi: 10.1177/0961203319884653. Epub 2019 Oct 25.","Bae SC","Lupus","2019","2019/10/27","","","10.1177/0961203319884653"
"24421291","Sleep disorders and systemic lupus erythematosus","Palagini L, Tani C, Mauri M, Carli L, Vagnani S, Bombardieri S, Gemignani A, Mosca M.","Lupus. 2014 Feb;23(2):115-23. doi: 10.1177/0961203313518623.","Palagini L","Lupus","2014","2014/01/15","","","10.1177/0961203313518623"
"23634739","Vitamin D and systemic lupus erythematosus: an update","Mok CC.","Expert Rev Clin Immunol. 2013 May;9(5):453-63. doi: 10.1586/eci.13.19.","Mok CC","Expert Rev Clin Immunol","2013","2013/05/03","","","10.1586/eci.13.19"
"24100460","Treatment of systemic lupus erythematosus: new therapeutic avenues and blind alleys","Thanou A, Merrill JT.","Nat Rev Rheumatol. 2014 Jan;10(1):23-34. doi: 10.1038/nrrheum.2013.145. Epub 2013 Oct 8.","Thanou A","Nat Rev Rheumatol","2014","2013/10/09","","","10.1038/nrrheum.2013.145"
"24135078","Rituximab in systemic lupus erythematosus: an updated systematic review and meta-analysis","Duxbury B, Combescure C, Chizzolini C.","Lupus. 2013 Dec;22(14):1489-503. doi: 10.1177/0961203313509295. Epub 2013 Oct 17.","Duxbury B","Lupus","2013","2013/10/19","","","10.1177/0961203313509295"
"29542419","Endothelial Dysfunction in Systemic Lupus Erythematosus: Pathogenesis, Assessment and Therapeutic Opportunities","Mauro D, Nerviani A.","Rev Recent Clin Trials. 2018;13(3):192-198. doi: 10.2174/1574887113666180314091831.","Mauro D","Rev Recent Clin Trials","2018","2018/03/16","","","10.2174/1574887113666180314091831"
"23642042","Lupus enteritis: from clinical findings to therapeutic management","Janssens P, Arnaud L, Galicier L, Mathian A, Hie M, Sene D, Haroche J, Veyssier-Belot C, Huynh-Charlier I, Grenier PA, Piette JC, Amoura Z.","Orphanet J Rare Dis. 2013 May 3;8:67. doi: 10.1186/1750-1172-8-67.","Janssens P","Orphanet J Rare Dis","2013","2013/05/07","PMC3651279","","10.1186/1750-1172-8-67"
"28927572","Heart failure in systemic lupus erythematosus","Dhakal BP, Kim CH, Al-Kindi SG, Oliveira GH.","Trends Cardiovasc Med. 2018 Apr;28(3):187-197. doi: 10.1016/j.tcm.2017.08.015. Epub 2017 Sep 6.","Dhakal BP","Trends Cardiovasc Med","2018","2017/09/21","","","10.1016/j.tcm.2017.08.015"
"23634733","Vitamins and systemic lupus erythematosus: to D or not to D","Perricone C, Agmon-Levin N, Colafrancesco S, Shoenfeld Y.","Expert Rev Clin Immunol. 2013 May;9(5):397-9. doi: 10.1586/eci.13.23.","Perricone C","Expert Rev Clin Immunol","2013","2013/05/03","","","10.1586/eci.13.23"
"29773269","Juvenile-onset systemic lupus erythematosus (jSLE) - Pathophysiological concepts and treatment options","Hedrich CM, Smith EMD, Beresford MW.","Best Pract Res Clin Rheumatol. 2017 Aug;31(4):488-504. doi: 10.1016/j.berh.2018.02.001. Epub 2018 Mar 1.","Hedrich CM","Best Pract Res Clin Rheumatol","2017","2018/05/19","","","10.1016/j.berh.2018.02.001"
"22041578","Systemic lupus erythematosus one disease or many?","Agmon-Levin N, Mosca M, Petri M, Shoenfeld Y.","Autoimmun Rev. 2012 Jun;11(8):593-5. doi: 10.1016/j.autrev.2011.10.020. Epub 2011 Oct 25.","Agmon-Levin N","Autoimmun Rev","2012","2011/11/02","","","10.1016/j.autrev.2011.10.020"
"31254159","Platelets and IgE: Shaping the Innate Immune Response in Systemic Lupus Erythematosus","Brilland B, Scherlinger M, Khoryati L, Goret J, Duffau P, Lazaro E, Charrier M, Guillotin V, Richez C, Blanco P.","Clin Rev Allergy Immunol. 2020 Apr;58(2):194-212. doi: 10.1007/s12016-019-08744-x.","Brilland B","Clin Rev Allergy Immunol","2020","2019/06/30","","","10.1007/s12016-019-08744-x"
"30452327","Neuropsychiatric symptoms in lupus","Lynall M.","Lupus. 2018 Oct;27(1_suppl):18-20. doi: 10.1177/0961203318801672.","Lynall M","Lupus","2018","2018/11/20","","","10.1177/0961203318801672"
"33150492","Concomitant onset of systemic lupus erythematosus and disseminated histoplasmosis: a case-based review","Peinado-Acevedo JS, Varela DC, Hidrón A.","Rheumatol Int. 2021 Sep;41(9):1673-1680. doi: 10.1007/s00296-020-04739-6. Epub 2020 Nov 4.","Peinado-Acevedo JS","Rheumatol Int","2021","2020/11/05","","","10.1007/s00296-020-04739-6"
"28233572","Clinical association between Kikuchi׳s disease and systemic lupus erythematosus: A systematic literature review","Sopeña B, Rivera A, Chamorro A, Freire M, Alende V, Seco E, González-Gay MA, González-Quintela A.","Semin Arthritis Rheum. 2017 Aug;47(1):46-52. doi: 10.1016/j.semarthrit.2017.01.011. Epub 2017 Jan 29.","Sopeña B","Semin Arthritis Rheum","2017","2017/02/25","","","10.1016/j.semarthrit.2017.01.011"
"24636579","Oxidative stress and its biomarkers in systemic lupus erythematosus","Shah D, Mahajan N, Sah S, Nath SK, Paudyal B.","J Biomed Sci. 2014 Mar 17;21(1):23. doi: 10.1186/1423-0127-21-23.","Shah D","J Biomed Sci","2014","2014/03/19","PMC3995422","","10.1186/1423-0127-21-23"
"29439911","[Effects of physical exercise in a population with systemic lupus erythematosus: A systematic review]","Ayán C, de Pedro-Múñez A, Martínez-Lemos I.","Semergen. 2018 Apr;44(3):192-206. doi: 10.1016/j.semerg.2017.12.002. Epub 2018 Feb 10.","Ayán C","Semergen","2018","2018/02/15","","","10.1016/j.semerg.2017.12.002"
"30907294","Self-management and adherence in childhood-onset systemic lupus erythematosus: what are we missing?","Harry O, Crosby LE, Smith AW, Favier L, Aljaberi N, Ting TV, Huggins JL, Modi AC.","Lupus. 2019 Apr;28(5):642-650. doi: 10.1177/0961203319839478. Epub 2019 Mar 24.","Harry O","Lupus","2019","2019/03/26","PMC6506349","NIHMS1523194","10.1177/0961203319839478"
"32282083","A review of fetal and neonatal consequences of maternal systemic lupus erythematosus","Limaye MA, Buyon JP, Cuneo BF, Mehta-Lee SS.","Prenat Diagn. 2020 Aug;40(9):1066-1076. doi: 10.1002/pd.5709. Epub 2020 May 10.","Limaye MA","Prenat Diagn","2020","2020/04/14","","","10.1002/pd.5709"
"25034158","Systemic lupus erythematosus and malignancies: a review article","Tessier-Cloutier B, Clarke AE, Ramsey-Goldman R, Gordon C, Hansen JE, Bernatsky S.","Rheum Dis Clin North Am. 2014 Aug;40(3):497-506, viii. doi: 10.1016/j.rdc.2014.04.005. Epub 2014 Jun 3.","Tessier-Cloutier B","Rheum Dis Clin North Am","2014","2014/07/19","","","10.1016/j.rdc.2014.04.005"
"22641593","Diet and nutritional aspects in systemic lupus erythematosus","Klack K, Bonfa E, Borba Neto EF.","Rev Bras Reumatol. 2012 May-Jun;52(3):384-408.","Klack K","Rev Bras Reumatol","2012","2012/05/30","","",""
"22263748","Late-onset systemic lupus erythematosus: epidemiology, diagnosis and treatment","Arnaud L, Mathian A, Boddaert J, Amoura Z.","Drugs Aging. 2012 Mar 1;29(3):181-189. doi: 10.2165/11598550-000000000-00000.","Arnaud L","Drugs Aging","2012","2012/01/24","","","10.2165/11598550-000000000-00000"
"34736577","Impact of menopause on women with systemic lupus erythematosus","Karvonen-Gutierrez CA, Leis A.","Maturitas. 2021 Dec;154:25-30. doi: 10.1016/j.maturitas.2021.09.004. Epub 2021 Sep 11.","Karvonen-Gutierrez CA","Maturitas","2021","2021/11/05","","","10.1016/j.maturitas.2021.09.004"
"32866257","Systemic Lupus Erythematosus and Critical Illness","Gasser EK, Schell-Chaple HM.","AACN Adv Crit Care. 2020 Sep 15;31(3):296-307. doi: 10.4037/aacnacc2020355.","Gasser EK","AACN Adv Crit Care","2020","2020/09/01","","","10.4037/aacnacc2020355"
"31507127","Are Anti-Phospholipid Syndrome and Systemic Lupus Erythematosus Two Different Diseases? A 10-Year Late Remake","Luigi Meroni P, Toubi E, Shoenfeld Y.","Isr Med Assoc J. 2019 Jul;21(7):491-493.","Luigi Meroni P","Isr Med Assoc J","2019","2019/09/12","","",""
"30540579","Postactivated B cells in systemic lupus erythematosus: update on translational aspects and therapeutic considerations","Schrezenmeier E, Weißenberg SY, Stefanski AL, Szelinski F, Wiedemann A, Lino AC, Dörner T.","Curr Opin Rheumatol. 2019 Mar;31(2):175-184. doi: 10.1097/BOR.0000000000000576.","Schrezenmeier E","Curr Opin Rheumatol","2019","2018/12/13","","","10.1097/BOR.0000000000000576"
"22489252","Pulmonary arterial hypertension in systemic lupus erythematosus: current status and future direction","Dhala A.","Clin Dev Immunol. 2012;2012:854941. doi: 10.1155/2012/854941. Epub 2012 Mar 22.","Dhala A","Clin Dev Immunol","2012","2012/04/11","PMC3318206","","10.1155/2012/854941"
"24097997","Transient ischemic attack and stroke in systemic lupus erythematosus","Timlin H, Petri M.","Lupus. 2013 Oct;22(12):1251-8. doi: 10.1177/0961203313497416.","Timlin H","Lupus","2013","2013/10/08","","","10.1177/0961203313497416"
"22882219","Flares of systemic lupus erythematosus during pregnancy and the puerperium: prevention, diagnosis and management","Stojan G, Baer AN.","Expert Rev Clin Immunol. 2012 Jul;8(5):439-53. doi: 10.1586/eci.12.36.","Stojan G","Expert Rev Clin Immunol","2012","2012/08/14","","","10.1586/eci.12.36"
"29533914","[Systemic lupus erythematosus - news 2017]","Wieliczko M, Matuszkiewicz-Rowińska J.","Wiad Lek. 2017;70(6 pt 2):1201-1204.","Wieliczko M","Wiad Lek","2017","2018/03/14","","",""
"24126423","[Neonatal lupus erythematosus - review of pathophysiology and clinical implications]","Teixeira V, Gonçalo M.","Acta Reumatol Port. 2012 Oct-Dec;37(4):314-23.","Teixeira V","Acta Reumatol Port","2012","2013/10/16","","",""
"32580306","Exploring the Role of Non-Coding RNAs in the Pathophysiology of Systemic Lupus Erythematosus","Taheri M, Eghtedarian R, Dinger ME, Ghafouri-Fard S.","Biomolecules. 2020 Jun 22;10(6):937. doi: 10.3390/biom10060937.","Taheri M","Biomolecules","2020","2020/06/26","PMC7356926","","10.3390/biom10060937"
"26734864","Systemic lupus erythematosus and Raynaud's phenomenon","Heimovski FE, Simioni JA, Skare TL.","An Bras Dermatol. 2015 Nov-Dec;90(6):837-40. doi: 10.1590/abd1806-4841.20153881.","Heimovski FE","An Bras Dermatol","2015","2016/01/07","PMC4689071","","10.1590/abd1806-4841.20153881"
"32339011","Unusual presentations in patients with systemic lupus erythematosus: a result of disease activity or something else?","Rahman A.","Br J Hosp Med (Lond). 2020 Apr 2;81(4):1-3. doi: 10.12968/hmed.2020.0120. Epub 2020 Apr 14.","Rahman A","Br J Hosp Med (Lond)","2020","2020/04/28","","","10.12968/hmed.2020.0120"
"29505598","Physical activity and sedentary behavior in patients with Systemic Lupus Erythematosus","Margiotta DPE, Basta F, Dolcini G, Batani V, Lo Vullo M, Vernuccio A, Navarini L, Afeltra A.","PLoS One. 2018 Mar 5;13(3):e0193728. doi: 10.1371/journal.pone.0193728. eCollection 2018.","Margiotta DPE","PLoS One","2018","2018/03/06","PMC5837187","","10.1371/journal.pone.0193728"
"29922296","Insights Gained From the Study of Pediatric Systemic Lupus Erythematosus","Lo MS.","Front Immunol. 2018 Jun 5;9:1278. doi: 10.3389/fimmu.2018.01278. eCollection 2018.","Lo MS","Front Immunol","2018","2018/06/21","PMC5996073","","10.3389/fimmu.2018.01278"
"26389850","What can we learn from systemic lupus erythematosus pathophysiology to improve current therapy?","Vilas-Boas A, Bakshi J, Isenberg DA.","Expert Rev Clin Immunol. 2015;11(10):1093-107. doi: 10.1586/1744666X.2015.1078237.","Vilas-Boas A","Expert Rev Clin Immunol","2015","2015/09/22","","","10.1586/1744666X.2015.1078237"
"34782087","Autoimmune Connective Tissue Diseases: Systemic Lupus Erythematosus and Rheumatoid Arthritis","Rose J.","Emerg Med Clin North Am. 2022 Feb;40(1):179-191. doi: 10.1016/j.emc.2021.09.003. Epub 2021 Oct 29.","Rose J","Emerg Med Clin North Am","2022","2021/11/16","","","10.1016/j.emc.2021.09.003"
"24913962","Concomitant systemic lupus erythematosus and HIV: case series and literature review","Mody GM, Patel N, Budhoo A, Dubula T.","Semin Arthritis Rheum. 2014 Oct;44(2):186-94. doi: 10.1016/j.semarthrit.2014.05.009. Epub 2014 May 9.","Mody GM","Semin Arthritis Rheum","2014","2014/06/11","","","10.1016/j.semarthrit.2014.05.009"
"26923281","Epileptic syndrome in systemic lupus erythematosus and neuronal autoantibody associations","Kampylafka EI, Alexopoulos H, Fouka P, Moutsopoulos HM, Dalakas MC, Tzioufas AG.","Lupus. 2016 Oct;25(11):1260-5. doi: 10.1177/0961203316636473. Epub 2016 Feb 27.","Kampylafka EI","Lupus","2016","2016/03/01","","","10.1177/0961203316636473"
"30841789","Ultrasound in the assessment of musculoskeletal involvement in systemic lupus erythematosus: state of the art and perspectives","Di Matteo A, Isidori M, Corradini D, Cipolletta E, McShane A, De Angelis R, Filippucci E, Grassi W.","Lupus. 2019 Apr;28(5):583-590. doi: 10.1177/0961203319834671. Epub 2019 Mar 6.","Di Matteo A","Lupus","2019","2019/03/08","","","10.1177/0961203319834671"
"25479933","[Pathogenesis and new therapeutic approaches for systemic lupus erythematosus]","Tenbrock K.","Z Rheumatol. 2014 Dec;73(10):890-6. doi: 10.1007/s00393-014-1399-7.","Tenbrock K","Z Rheumatol","2014","2014/12/07","","","10.1007/s00393-014-1399-7"
"22280197","The socioeconomic burden of systemic lupus erythematosus: state-of-the-art and prospects","Zhu TY, Tam LS, Li EK.","Expert Rev Pharmacoecon Outcomes Res. 2012 Feb;12(1):53-69. doi: 10.1586/erp.11.92.","Zhu TY","Expert Rev Pharmacoecon Outcomes Res","2012","2012/01/28","","","10.1586/erp.11.92"
"31408627","Nailfold microvascular changes in patients with systemic lupus erythematosus and their associative factors","Fatemi A, Erlandsson BE, Emrani Z, Etehadtavakol M, Smiley A, Karbalaie A.","Microvasc Res. 2019 Nov;126:103910. doi: 10.1016/j.mvr.2019.103910. Epub 2019 Aug 10.","Fatemi A","Microvasc Res","2019","2019/08/14","","","10.1016/j.mvr.2019.103910"
"25034164","Systemic lupus erythematosus","Ginzler EM, Dooley MA.","Rheum Dis Clin North Am. 2014 Aug;40(3):xiii-xiv. doi: 10.1016/j.rdc.2014.05.004. Epub 2014 Jun 3.","Ginzler EM","Rheum Dis Clin North Am","2014","2014/07/19","","","10.1016/j.rdc.2014.05.004"
"34502221","An Overview of Neonatal Lupus with Anti-Ro Characteristics","Gryka-Marton M, Szukiewicz D, Teliga-Czajkowska J, Olesinska M.","Int J Mol Sci. 2021 Aug 27;22(17):9281. doi: 10.3390/ijms22179281.","Gryka-Marton M","Int J Mol Sci","2021","2021/09/10","PMC8431034","","10.3390/ijms22179281"
"22787993","Systemic lupus erythematosus: nurse and patient education","Ferenkeh-Koroma A.","Nurs Stand. 2012 May 30-Jun 5;26(39):49-57; quiz 58. doi: 10.7748/ns2012.05.26.39.49.c9134.","Ferenkeh-Koroma A","Nurs Stand","2012","2012/07/14","","","10.7748/ns2012.05.26.39.49.c9134"
"32323601","Physiopathology of pain in systemic erythematosus lupus","Nichilatti LP, Fernandes JM, Marques CP.","Lupus. 2020 Jun;29(7):721-726. doi: 10.1177/0961203320919872. Epub 2020 Apr 23.","Nichilatti LP","Lupus","2020","2020/04/24","","","10.1177/0961203320919872"
"27084028","Posterior reversible encephalopathy syndrome and association with systemic lupus erythematosus","Ferreira TS, Reis F, Appenzeller S.","Lupus. 2016 Oct;25(12):1369-76. doi: 10.1177/0961203316643598. Epub 2016 Apr 14.","Ferreira TS","Lupus","2016","2016/04/17","","","10.1177/0961203316643598"
"24826881","Epigenetics in lupus","Zan H.","Autoimmunity. 2014 Jun;47(4):213-4. doi: 10.3109/08916934.2014.915393.","Zan H","Autoimmunity","2014","2014/05/16","","","10.3109/08916934.2014.915393"
"22654485","Role of cytokines in systemic lupus erythematosus: recent progress from GWAS and sequencing","Connolly JJ, Hakonarson H.","J Biomed Biotechnol. 2012;2012:798924. doi: 10.1155/2012/798924. Epub 2012 May 10.","Connolly JJ","J Biomed Biotechnol","2012","2012/06/02","PMC3359833","","10.1155/2012/798924"
"25523441","Epigenetics and lupus","Miceli-Richard C.","Joint Bone Spine. 2015 Mar;82(2):90-3. doi: 10.1016/j.jbspin.2014.03.004. Epub 2014 Dec 15.","Miceli-Richard C","Joint Bone Spine","2015","2014/12/20","","","10.1016/j.jbspin.2014.03.004"
"35159315","Epigenetic Alterations in Immune Cells of Systemic Lupus Erythematosus and Therapeutic Implications","Adams DE, Shao WH.","Cells. 2022 Feb 1;11(3):506. doi: 10.3390/cells11030506.","Adams DE","Cells","2022","2022/02/15","PMC8834103","","10.3390/cells11030506"
"24790989","Imbalance between endothelial damage and repair: a gateway to cardiovascular disease in systemic lupus erythematosus","Mak A, Kow NY.","Biomed Res Int. 2014;2014:178721. doi: 10.1155/2014/178721. Epub 2014 Mar 26.","Mak A","Biomed Res Int","2014","2014/05/03","PMC3984775","","10.1155/2014/178721"
"22382348","Differences between male and female systemic lupus erythematosus in a multiethnic population","Tan TC, Fang H, Magder LS, Petri MA.","J Rheumatol. 2012 Apr;39(4):759-69. doi: 10.3899/jrheum.111061. Epub 2012 Mar 1.","Tan TC","J Rheumatol","2012","2012/03/03","PMC3605704","NIHMS450970","10.3899/jrheum.111061"
"25884792","Incomplete clearance of apoptotic cells in systemic lupus erythematosus: pathogenic role and potential biomarker","Jung JY, Suh CH.","Int J Rheum Dis. 2015 Mar;18(3):294-303. doi: 10.1111/1756-185X.12568. Epub 2015 Apr 17.","Jung JY","Int J Rheum Dis","2015","2015/04/18","","","10.1111/1756-185X.12568"
"33302858","Myocardial Infarction in Systemic Lupus Erythematosus - the Sex-Specific Risk Profile","Vavlukis M, Pop-Gjorcevab D, Poposka L, Sandevska E, Kedev S.","Curr Pharm Des. 2021;27(29):3221-3228. doi: 10.2174/1381612826666201210110809.","Vavlukis M","Curr Pharm Des","2021","2020/12/11","","","10.2174/1381612826666201210110809"
