PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33710678","EAACI guideline: Preventing the development of food allergy in infants and young children (2020 update)","Halken S, Muraro A, de Silva D, Khaleva E, Angier E, Arasi S, Arshad H, Bahnson HT, Beyer K, Boyle R, du Toit G, Ebisawa M, Eigenmann P, Grimshaw K, Hoest A, Jones C, Lack G, Nadeau K, O'Mahony L, Szajewska H, Venter C, Verhasselt V, Wong GWK, Roberts G; European Academy of Allergy and Clinical Immunology Food Allergy and Anaphylaxis Guidelines Group.","Pediatr Allergy Immunol. 2021 Jul;32(5):843-858. doi: 10.1111/pai.13496. Epub 2021 Mar 29.","Halken S","Pediatr Allergy Immunol","2021","2021/03/12","","","10.1111/pai.13496"
"34446580","Prenatal maternal infection promotes tissue-specific immunity and inflammation in offspring","Lim AI, McFadden T, Link VM, Han SJ, Karlsson RM, Stacy A, Farley TK, Lima-Junior DS, Harrison OJ, Desai JV, Lionakis MS, Shih HY, Cameron HA, Belkaid Y.","Science. 2021 Aug 27;373(6558):eabf3002. doi: 10.1126/science.abf3002.","Lim AI","Science","2021","2021/08/27","","","10.1126/science.abf3002"
"30725732","Urinary Tract Infection In Pregnancy","Habak PJ, Griggs, Jr RP.","2022 Jul 5. In: StatPearls [Internet]. Treasure Island (FL): StatPearls Publishing; 2022 Jan–.","Habak PJGriggs, Jr RP","StatPearls","2022","2022/07/05","","",""
"34536988","Pregnancy and COVID-19: prevention, vaccination, therapy, and beyond","Şahin D, Tanaçan A, Webster SN, Moraloğlu Tekin Ö.","Turk J Med Sci. 2021 Dec 17;51(SI-1):3312-3326. doi: 10.3906/sag-2106-134.","Şahin D","Turk J Med Sci","2021","2021/09/19","PMC8771011","","10.3906/sag-2106-134"
"31442531","Placental structure in gestational diabetes mellitus","Carrasco-Wong I, Moller A, Giachini FR, Lima VV, Toledo F, Stojanova J, Sobrevia L, San Martín S.","Biochim Biophys Acta Mol Basis Dis. 2020 Feb 1;1866(2):165535. doi: 10.1016/j.bbadis.2019.165535. Epub 2019 Aug 20.","Carrasco-Wong I","Biochim Biophys Acta Mol Basis Dis","2020","2019/08/24","","","10.1016/j.bbadis.2019.165535"
"33080891","Curcumin: Could This Compound Be Useful in Pregnancy and Pregnancy-Related Complications?","Filardi T, Varì R, Ferretti E, Zicari A, Morano S, Santangelo C.","Nutrients. 2020 Oct 17;12(10):3179. doi: 10.3390/nu12103179.","Filardi T","Nutrients","2020","2020/10/21","PMC7603145","","10.3390/nu12103179"
"28787280","The Maternal Gut Microbiome During Pregnancy","Edwards SM, Cunningham SA, Dunlop AL, Corwin EJ.","MCN Am J Matern Child Nurs. 2017 Nov/Dec;42(6):310-317. doi: 10.1097/NMC.0000000000000372.","Edwards SM","MCN Am J Matern Child Nurs","2017","2017/08/09","PMC5648614","NIHMS848009","10.1097/NMC.0000000000000372"
"30859338","Birth Mode, Breastfeeding, Pet Exposure, and Antibiotic Use: Associations With the Gut Microbiome and Sensitization in Children","Kim H, Sitarik AR, Woodcroft K, Johnson CC, Zoratti E.","Curr Allergy Asthma Rep. 2019 Mar 11;19(4):22. doi: 10.1007/s11882-019-0851-9.","Kim H","Curr Allergy Asthma Rep","2019","2019/03/13","PMC7376540","NIHMS1608585","10.1007/s11882-019-0851-9"
"28673078","Nutritional and metabolic programming during the first thousand days of life","Agosti M, Tandoi F, Morlacchi L, Bossi A.","Pediatr Med Chir. 2017 Jun 28;39(2):157. doi: 10.4081/pmc.2017.157.","Agosti M","Pediatr Med Chir","2017","2017/07/05","","","10.4081/pmc.2017.157"
"33610320","Immunologic causes and thrombophilia in recurrent pregnancy loss","Alecsandru D, Klimczak AM, Garcia Velasco JA, Pirtea P, Franasiak JM.","Fertil Steril. 2021 Mar;115(3):561-566. doi: 10.1016/j.fertnstert.2021.01.017. Epub 2021 Feb 17.","Alecsandru D","Fertil Steril","2021","2021/02/21","","","10.1016/j.fertnstert.2021.01.017"
"28005431","Lung Development and Aging","Bush A.","Ann Am Thorac Soc. 2016 Dec;13 Suppl 5:S438-S446. doi: 10.1513/AnnalsATS.201602-112AW.","Bush A","Ann Am Thorac Soc","2016","2016/12/23","","","10.1513/AnnalsATS.201602-112AW"
"32865300","Severity of COVID-19 in pregnancy: A review of current evidence","Kucirka LM, Norton A, Sheffield JS.","Am J Reprod Immunol. 2020 Nov;84(5):e13332. doi: 10.1111/aji.13332. Epub 2020 Oct 4.","Kucirka LM","Am J Reprod Immunol","2020","2020/09/01","","","10.1111/aji.13332"
"28602477","Endometrial receptivity in the eutopic endometrium of women with endometriosis: it is affected, and let me show you why","Lessey BA, Kim JJ.","Fertil Steril. 2017 Jul;108(1):19-27. doi: 10.1016/j.fertnstert.2017.05.031. Epub 2017 Jun 14.","Lessey BA","Fertil Steril","2017","2017/06/13","PMC5629018","NIHMS880161","10.1016/j.fertnstert.2017.05.031"
"32231664","The Interplay Between Reproductive Tract Microbiota and Immunological System in Human Reproduction","Al-Nasiry S, Ambrosino E, Schlaepfer M, Morré SA, Wieten L, Voncken JW, Spinelli M, Mueller M, Kramer BW.","Front Immunol. 2020 Mar 16;11:378. doi: 10.3389/fimmu.2020.00378. eCollection 2020.","Al-Nasiry S","Front Immunol","2020","2020/04/02","PMC7087453","","10.3389/fimmu.2020.00378"
"34613328","Maternal gut microbiome regulates immunity to RSV infection in offspring","Fonseca W, Malinczak CA, Fujimura K, Li D, McCauley K, Li J, Best SKK, Zhu D, Rasky AJ, Johnson CC, Bermick J, Zoratti EM, Ownby D, Lynch SV, Lukacs NW, Ptaschinski C.","J Exp Med. 2021 Nov 1;218(11):e20210235. doi: 10.1084/jem.20210235. Epub 2021 Oct 6.","Fonseca W","J Exp Med","2021","2021/10/06","PMC8500238","","10.1084/jem.20210235"
"30587599","Gestational Diabetes and T-cell (Th1/Th2/Th17/Treg) Immune Profile","Sifnaios E, Mastorakos G, Psarra K, Panagopoulos ND, Panoulis K, Vitoratos N, Rizos D, Creatsas G.","In Vivo. 2019 Jan-Feb;33(1):31-40. doi: 10.21873/invivo.11435.","Sifnaios E","In Vivo","2019","2018/12/28","PMC6364086","","10.21873/invivo.11435"
"33361822","Maternal immune activation in mice disrupts proteostasis in the fetal brain","Kalish BT, Kim E, Finander B, Duffy EE, Kim H, Gilman CK, Yim YS, Tong L, Kaufman RJ, Griffith EC, Choi GB, Greenberg ME, Huh JR.","Nat Neurosci. 2021 Feb;24(2):204-213. doi: 10.1038/s41593-020-00762-9. Epub 2020 Dec 23.","Kalish BT","Nat Neurosci","2021","2020/12/28","PMC7854524","NIHMS1648035","10.1038/s41593-020-00762-9"
"31318420","Reproductive, obstetric, and perinatal outcomes of women with adenomyosis and endometriosis: a systematic review and meta-analysis","Horton J, Sterrenburg M, Lane S, Maheshwari A, Li TC, Cheong Y.","Hum Reprod Update. 2019 Sep 11;25(5):592-632. doi: 10.1093/humupd/dmz012.","Horton J","Hum Reprod Update","2019","2019/07/19","","","10.1093/humupd/dmz012"
"32524677","Dietary factors during pregnancy and atopic outcomes in childhood: A systematic review from the European Academy of Allergy and Clinical Immunology","Venter C, Agostoni C, Arshad SH, Ben-Abdallah M, Du Toit G, Fleischer DM, Greenhawt M, Glueck DH, Groetch M, Lunjani N, Maslin K, Maiorella A, Meyer R, Antonella M, Netting MJ, Ibeabughichi Nwaru B, Palmer DJ, Palumbo MP, Roberts G, Roduit C, Smith P, Untersmayr E, Vanderlinden LA, O'Mahony L.","Pediatr Allergy Immunol. 2020 Nov;31(8):889-912. doi: 10.1111/pai.13303. Epub 2020 Aug 6.","Venter C","Pediatr Allergy Immunol","2020","2020/06/12","","","10.1111/pai.13303"
"29369067","Evidence establishing a link between prenatal and early-life stress and asthma development","Rosa MJ, Lee AG, Wright RJ.","Curr Opin Allergy Clin Immunol. 2018 Apr;18(2):148-158. doi: 10.1097/ACI.0000000000000421.","Rosa MJ","Curr Opin Allergy Clin Immunol","2018","2018/01/26","PMC5835351","NIHMS945528","10.1097/ACI.0000000000000421"
"32244166","Why are pregnant women susceptible to COVID-19? An immunological viewpoint","Liu H, Wang LL, Zhao SJ, Kwak-Kim J, Mor G, Liao AH.","J Reprod Immunol. 2020 Jun;139:103122. doi: 10.1016/j.jri.2020.103122. Epub 2020 Mar 19.","Liu H","J Reprod Immunol","2020","2020/04/04","PMC7156163","","10.1016/j.jri.2020.103122"
"34664987","Maternal SARS-CoV-2 infection elicits sexually dimorphic placental immune responses","Bordt EA, Shook LL, Atyeo C, Pullen KM, De Guzman RM, Meinsohn MC, Chauvin M, Fischinger S, Yockey LJ, James K, Lima R, Yonker LM, Fasano A, Brigida S, Bebell LM, Roberts DJ, Pépin D, Huh JR, Bilbo SD, Li JZ, Kaimal A, Schust DJ, Gray KJ, Lauffenburger D, Alter G, Edlow AG.","Sci Transl Med. 2021 Oct 27;13(617):eabi7428. doi: 10.1126/scitranslmed.abi7428. Epub 2021 Oct 27.","Bordt EA","Sci Transl Med","2021","2021/10/19","PMC8784281","NIHMS1758129","10.1126/scitranslmed.abi7428"
"34664972","COVID-19 mRNA vaccines drive differential antibody Fc-functional profiles in pregnant, lactating, and nonpregnant women","Atyeo C, DeRiso EA, Davis C, Bordt EA, De Guzman RM, Shook LL, Yonker LM, Fasano A, Akinwunmi B, Lauffenburger DA, Elovitz MA, Gray KJ, Edlow AG, Alter G.","Sci Transl Med. 2021 Oct 27;13(617):eabi8631. doi: 10.1126/scitranslmed.abi8631. Epub 2021 Oct 27.","Atyeo C","Sci Transl Med","2021","2021/10/19","PMC9067624","NIHMS1758174","10.1126/scitranslmed.abi8631"
"32717255","Does race or ethnicity play a role in the origin, pathophysiology, and outcomes of preeclampsia? An expert review of the literature","Johnson JD, Louis JM.","Am J Obstet Gynecol. 2022 Feb;226(2S):S876-S885. doi: 10.1016/j.ajog.2020.07.038. Epub 2020 Jul 24.","Johnson JD","Am J Obstet Gynecol","2022","2020/07/28","","","10.1016/j.ajog.2020.07.038"
"31733717","Pregnancy in Women With Systemic Lupus and Lupus Nephritis","Maynard S, Guerrier G, Duffy M.","Adv Chronic Kidney Dis. 2019 Sep;26(5):330-337. doi: 10.1053/j.ackd.2019.08.013.","Maynard S","Adv Chronic Kidney Dis","2019","2019/11/18","","","10.1053/j.ackd.2019.08.013"
"33115633","Epigenetics, pregnancy and autoimmune rheumatic diseases","Pacini G, Paolino S, Andreoli L, Tincani A, Gerosa M, Caporali R, Iagnocco A, Ospelt C, Smith V, Cutolo M.","Autoimmun Rev. 2020 Dec;19(12):102685. doi: 10.1016/j.autrev.2020.102685. Epub 2020 Oct 22.","Pacini G","Autoimmun Rev","2020","2020/10/29","","","10.1016/j.autrev.2020.102685"
"33617461","Continuous human uterine NK cell differentiation in response to endometrial regeneration and pregnancy","Strunz B, Bister J, Jönsson H, Filipovic I, Crona-Guterstam Y, Kvedaraite E, Sleiers N, Dumitrescu B, Brännström M, Lentini A, Reinius B, Cornillet M, Willinger T, Gidlöf S, Hamilton RS, Ivarsson MA, Björkström NK.","Sci Immunol. 2021 Feb 19;6(56):eabb7800. doi: 10.1126/sciimmunol.abb7800. Epub 2021 Feb 19.","Strunz B","Sci Immunol","2021","2021/02/22","","","10.1126/sciimmunol.abb7800"
"34502370","Epigenetic Alterations Related to Gestational Diabetes Mellitus","Valencia-Ortega J, Saucedo R, Sánchez-Rodríguez MA, Cruz-Durán JG, Martínez EGR.","Int J Mol Sci. 2021 Aug 31;22(17):9462. doi: 10.3390/ijms22179462.","Valencia-Ortega J","Int J Mol Sci","2021","2021/09/10","PMC8430976","","10.3390/ijms22179462"
"29027807","Biochemistry of the menopause","Honour JW.","Ann Clin Biochem. 2018 Jan;55(1):18-33. doi: 10.1177/0004563217739930. Epub 2017 Nov 2.","Honour JW","Ann Clin Biochem","2018","2017/10/14","","","10.1177/0004563217739930"
"27059727","Prevention of food allergy","du Toit G, Tsakok T, Lack S, Lack G.","J Allergy Clin Immunol. 2016 Apr;137(4):998-1010. doi: 10.1016/j.jaci.2016.02.005.","du Toit G","J Allergy Clin Immunol","2016","2016/04/10","","","10.1016/j.jaci.2016.02.005"
"28714605","Epigenetic Alterations and Prenatal Maternal Depression","Nemoda Z, Szyf M.","Birth Defects Res. 2017 Jul 17;109(12):888-897. doi: 10.1002/bdr2.1081.","Nemoda Z","Birth Defects Res","2017","2017/07/18","","","10.1002/bdr2.1081"
"30197948","Ocular changes during pregnancy","Naderan M.","J Curr Ophthalmol. 2018 Jan 3;30(3):202-210. doi: 10.1016/j.joco.2017.11.012. eCollection 2018 Sep.","Naderan M","J Curr Ophthalmol","2018","2018/09/11","PMC6127369","","10.1016/j.joco.2017.11.012"
"33127947","Changes in peripheral immune populations during pregnancy and modulation by probiotics and ω-3 fatty acids","Forsberg A, Abrahamsson TR, Nilsson L, Ernerudh J, Duchén K, Jenmalm MC.","Sci Rep. 2020 Oct 30;10(1):18723. doi: 10.1038/s41598-020-75312-1.","Forsberg A","Sci Rep","2020","2020/10/31","PMC7599237","","10.1038/s41598-020-75312-1"
"35265534","Physiological Changes and Interactions Between Microbiome and the Host During Pregnancy","Zakaria ZZ, Al-Rumaihi S, Al-Absi RS, Farah H, Elamin M, Nader R, Bouabidi S, Suleiman SE, Nasr S, Al-Asmakh M.","Front Cell Infect Microbiol. 2022 Feb 21;12:824925. doi: 10.3389/fcimb.2022.824925. eCollection 2022.","Zakaria ZZ","Front Cell Infect Microbiol","2022","2022/03/10","PMC8899668","","10.3389/fcimb.2022.824925"
"32306461","Dose-dependent structural and immunological changes in the placenta and fetal brain in response to systemic inflammation during pregnancy","Chudnovets A, Lei J, Na Q, Dong J, Narasimhan H, Klein SL, Burd I.","Am J Reprod Immunol. 2020 Jul;84(1):e13248. doi: 10.1111/aji.13248. Epub 2020 May 22.","Chudnovets A","Am J Reprod Immunol","2020","2020/04/20","PMC8172143","NIHMS1703850","10.1111/aji.13248"
"21858482","Asthma and pregnancy","Vatti RR, Teuber SS.","Clin Rev Allergy Immunol. 2012 Aug;43(1-2):45-56. doi: 10.1007/s12016-011-8277-8.","Vatti RR","Clin Rev Allergy Immunol","2012","2011/08/23","","","10.1007/s12016-011-8277-8"
"23307838","Physiology and Endocrinology Symposium: maternal immunological adjustments to pregnancy and parturition in ruminants and possible implications for postpartum uterine health: is there a prepartum-postpartum nexus?","Hansen PJ.","J Anim Sci. 2013 Apr;91(4):1639-49. doi: 10.2527/jas.2012-5934. Epub 2013 Jan 10.","Hansen PJ","J Anim Sci","2013","2013/01/12","","","10.2527/jas.2012-5934"
"33218096","PlGF Immunological Impact during Pregnancy","Albonici L, Benvenuto M, Focaccetti C, Cifaldi L, Miele MT, Limana F, Manzari V, Bei R.","Int J Mol Sci. 2020 Nov 18;21(22):8714. doi: 10.3390/ijms21228714.","Albonici L","Int J Mol Sci","2020","2020/11/21","PMC7698813","","10.3390/ijms21228714"
"25731914","Malaria and immunity during pregnancy and postpartum: a tale of two species","McLean AR, Ataide R, Simpson JA, Beeson JG, Fowkes FJ.","Parasitology. 2015 Jul;142(8):999-1015. doi: 10.1017/S0031182015000074. Epub 2015 Mar 3.","McLean AR","Parasitology","2015","2015/03/04","PMC4453920","","10.1017/S0031182015000074"
"27339196","Preeclampsia and health risks later in life: an immunological link","Cheng SB, Sharma S.","Semin Immunopathol. 2016 Nov;38(6):699-708. doi: 10.1007/s00281-016-0579-8. Epub 2016 Jun 23.","Cheng SB","Semin Immunopathol","2016","2016/06/25","","","10.1007/s00281-016-0579-8"
"33302848","Pregnancy and Viral Hepatitis: Current Concepts","Tagkou NM, Kondylis G, Cholongitas E.","Curr Pharm Des. 2021;27(36):3775-3785. doi: 10.2174/1381612826666201210113841.","Tagkou NM","Curr Pharm Des","2021","2020/12/11","","","10.2174/1381612826666201210113841"
"33084944","Regulation of maternal-fetal metabolic communication","Bowman CE, Arany Z, Wolfgang MJ.","Cell Mol Life Sci. 2021 Feb;78(4):1455-1486. doi: 10.1007/s00018-020-03674-w. Epub 2020 Oct 21.","Bowman CE","Cell Mol Life Sci","2021","2020/10/21","PMC7904600","NIHMS1639952","10.1007/s00018-020-03674-w"
"34427919","Management of allergic diseases in pregnancy","Pfaller B, Bendien S, Ditisheim A, Eiwegger T.","Allergy. 2022 Mar;77(3):798-811. doi: 10.1111/all.15063. Epub 2021 Sep 4.","Pfaller B","Allergy","2022","2021/08/24","","","10.1111/all.15063"
"32691841","On use of animal models","Clark DA.","Emerg Top Life Sci. 2020 Sep 8;4(2):207-227. doi: 10.1042/ETLS20200042.","Clark DA","Emerg Top Life Sci","2020","2020/07/22","","","10.1042/ETLS20200042"
"28561248","Pulmonary Infections in Pregnancy","Mathad JS, Gupta A.","Semin Respir Crit Care Med. 2017 Apr;38(2):174-184. doi: 10.1055/s-0037-1602375. Epub 2017 May 22.","Mathad JS","Semin Respir Crit Care Med","2017","2017/06/01","","","10.1055/s-0037-1602375"
"22406114","Pregnancy and pregnancy-associated hormones alter immune responses and disease pathogenesis","Robinson DP, Klein SL.","Horm Behav. 2012 Aug;62(3):263-71. doi: 10.1016/j.yhbeh.2012.02.023. Epub 2012 Mar 3.","Robinson DP","Horm Behav","2012","2012/03/13","PMC3376705","NIHMS360907","10.1016/j.yhbeh.2012.02.023"
"28754005","Can Early Omega-3 Fatty Acid Exposure Reduce Risk of Childhood Allergic Disease?","Miles EA, Calder PC.","Nutrients. 2017 Jul 21;9(7):784. doi: 10.3390/nu9070784.","Miles EA","Nutrients","2017","2017/07/30","PMC5537898","","10.3390/nu9070784"
"35587052","Immune alterations in recurrent implantation failure","Mukherjee N, Sharma R, Modi D.","Am J Reprod Immunol. 2022 May 19:e13563. doi: 10.1111/aji.13563. Online ahead of print.","Mukherjee N","Am J Reprod Immunol","2022","2022/05/19","","","10.1111/aji.13563"
"34867919","Malaria in Pregnancy: From Placental Infection to Its Abnormal Development and Damage","Chua CLL, Khoo SKM, Ong JLE, Ramireddi GK, Yeo TW, Teo A.","Front Microbiol. 2021 Nov 11;12:777343. doi: 10.3389/fmicb.2021.777343. eCollection 2021.","Chua CLL","Front Microbiol","2021","2021/12/06","PMC8636035","","10.3389/fmicb.2021.777343"
"32623810","Pregnancy with COVID-19: Management considerations for care of severe and critically ill cases","Chen L, Jiang H, Zhao Y.","Am J Reprod Immunol. 2020 Nov;84(5):e13299. doi: 10.1111/aji.13299. Epub 2020 Jul 20.","Chen L","Am J Reprod Immunol","2020","2020/07/06","PMC7361145","","10.1111/aji.13299"
"34032570","Perinatal development of innate immune topology","Henneke P, Kierdorf K, Hall LJ, Sperandio M, Hornef M.","Elife. 2021 May 25;10:e67793. doi: 10.7554/eLife.67793.","Henneke P","Elife","2021","2021/05/25","PMC8149122","","10.7554/eLife.67793"
"34163485","Pregnancy Induces an Immunological Memory Characterized by Maternal Immune Alterations Through Specific Genes Methylation","Huang X, Wang L, Zhao S, Liu H, Chen S, Wu L, Liu L, Ding J, Yang H, Maxwell A, Yin Z, Mor G, Liao A.","Front Immunol. 2021 Jun 7;12:686676. doi: 10.3389/fimmu.2021.686676. eCollection 2021.","Huang X","Front Immunol","2021","2021/06/24","PMC8215664","","10.3389/fimmu.2021.686676"
"32757366","Is pregnancy an immunological contributor to severe or controlled COVID-19 disease?","Hanna N, Hanna M, Sharma S.","Am J Reprod Immunol. 2020 Nov;84(5):e13317. doi: 10.1111/aji.13317. Epub 2020 Aug 20.","Hanna N","Am J Reprod Immunol","2020","2020/08/07","PMC7435498","","10.1111/aji.13317"
"32509886","Novel coronavirus disease 2019 and perinatal outcomes","Irani M, Pakfetrat A, Mask MK.","J Educ Health Promot. 2020 Apr 28;9:78. doi: 10.4103/jehp.jehp_189_20. eCollection 2020.","Irani M","J Educ Health Promot","2020","2020/06/09","PMC7271929","","10.4103/jehp.jehp_189_20"
"32682444","Maternal and perinatal outcomes and pharmacological management of Covid-19 infection in pregnancy: a systematic review protocol","Thomas B, Pallivalapila A, El Kassem W, Tarannum A, Al Hail F, Rijims M, Parappil H, Bayo AI, Ahmad S, Nazar Z, Stewart D, Al Hail M.","Syst Rev. 2020 Jul 18;9(1):161. doi: 10.1186/s13643-020-01418-2.","Thomas B","Syst Rev","2020","2020/07/20","PMC7368633","","10.1186/s13643-020-01418-2"
"30055847","Cardiovascular disease risk unmasked by pregnancy complications","Jasper R, Skelding K.","Eur J Intern Med. 2018 Nov;57:1-6. doi: 10.1016/j.ejim.2018.07.020. Epub 2018 Jul 25.","Jasper R","Eur J Intern Med","2018","2018/07/30","","","10.1016/j.ejim.2018.07.020"
"24170482","Managing asthma during pregnancy","Rance K, O'Laughlen MC.","J Am Assoc Nurse Pract. 2013 Oct;25(10):513-521. doi: 10.1002/2327-6924.12052. Epub 2013 Jul 12.","Rance K","J Am Assoc Nurse Pract","2013","2013/10/31","","","10.1002/2327-6924.12052"
"31603247","Epigenetic programming-The important first 1000 days","Linnér A, Almgren M.","Acta Paediatr. 2020 Mar;109(3):443-452. doi: 10.1111/apa.15050. Epub 2019 Oct 24.","Linnér A","Acta Paediatr","2020","2019/10/12","","","10.1111/apa.15050"
"23129568","Management of asthma during pregnancy","Maselli DJ, Adams SG, Peters JI, Levine SM.","Ther Adv Respir Dis. 2013 Apr;7(2):87-100. doi: 10.1177/1753465812464287. Epub 2012 Nov 5.","Maselli DJ","Ther Adv Respir Dis","2013","2012/11/07","","","10.1177/1753465812464287"
"34248991","Epidemiology of Pregnancy Complications Through the Lens of Immunological Memory","Gregory EJ, Liu J, Miller-Handley H, Kinder JM, Way SS.","Front Immunol. 2021 Jun 25;12:693189. doi: 10.3389/fimmu.2021.693189. eCollection 2021.","Gregory EJ","Front Immunol","2021","2021/07/12","PMC8267465","","10.3389/fimmu.2021.693189"
"24954267","Sonographic appearance of the placenta","Bowman ZS, Kennedy AM.","Curr Probl Diagn Radiol. 2014 Nov-Dec;43(6):356-73. doi: 10.1067/j.cpradiol.2014.05.006. Epub 2014 Jun 20.","Bowman ZS","Curr Probl Diagn Radiol","2014","2014/06/24","","","10.1067/j.cpradiol.2014.05.006"
"32282083","A review of fetal and neonatal consequences of maternal systemic lupus erythematosus","Limaye MA, Buyon JP, Cuneo BF, Mehta-Lee SS.","Prenat Diagn. 2020 Aug;40(9):1066-1076. doi: 10.1002/pd.5709. Epub 2020 May 10.","Limaye MA","Prenat Diagn","2020","2020/04/14","","","10.1002/pd.5709"
"34122414","Systemic Characterization of Novel Immune Cell Phenotypes in Recurrent Pregnancy Loss","Liu H, Lin XX, Huang XB, Huang DH, Song S, Chen YJ, Tang J, Tao D, Yin ZN, Mor G, Liao AH.","Front Immunol. 2021 May 28;12:657552. doi: 10.3389/fimmu.2021.657552. eCollection 2021.","Liu H","Front Immunol","2021","2021/06/14","PMC8195235","","10.3389/fimmu.2021.657552"
"30359934","Antibiotics and autoimmune and allergy diseases: Causative factor or treatment?","Strzępa A, Lobo FM, Majewska-Szczepanik M, Szczepanik M.","Int Immunopharmacol. 2018 Dec;65:328-341. doi: 10.1016/j.intimp.2018.10.021. Epub 2018 Oct 22.","Strzępa A","Int Immunopharmacol","2018","2018/10/26","","","10.1016/j.intimp.2018.10.021"
"30619350","Sex Bias in Asthma Prevalence and Pathogenesis","Shah R, Newcomb DC.","Front Immunol. 2018 Dec 18;9:2997. doi: 10.3389/fimmu.2018.02997. eCollection 2018.","Shah R","Front Immunol","2018","2019/01/09","PMC6305471","","10.3389/fimmu.2018.02997"
"27864894","Maternal dietary intake in pregnancy and lactation and allergic disease outcomes in offspring","Venter C, Brown KR, Maslin K, Palmer DJ.","Pediatr Allergy Immunol. 2017 Mar;28(2):135-143. doi: 10.1111/pai.12682.","Venter C","Pediatr Allergy Immunol","2017","2016/11/20","","","10.1111/pai.12682"
"23743789","Safety of antiretroviral drugs in pregnancy and breastfeeding for mother and child","Newell ML, Bunders MJ.","Curr Opin HIV AIDS. 2013 Sep;8(5):504-10. doi: 10.1097/COH.0b013e3283632b88.","Newell ML","Curr Opin HIV AIDS","2013","2013/06/08","","","10.1097/COH.0b013e3283632b88"
