PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26098843","Predictors of Pregnancy Outcomes in Patients With Lupus: A Cohort Study","Buyon JP, Kim MY, Guerra MM, Laskin CA, Petri M, Lockshin MD, Sammaritano L, Branch DW, Porter TF, Sawitzke A, Merrill JT, Stephenson MD, Cohn E, Garabet L, Salmon JE.","Ann Intern Med. 2015 Aug 4;163(3):153-63. doi: 10.7326/M14-2235.","Buyon JP","Ann Intern Med","2015","2015/06/23","PMC5113288","NIHMS826877","10.7326/M14-2235"
"32173263","Pregnancy and autoimmune diseases","Somers EC.","Best Pract Res Clin Obstet Gynaecol. 2020 Apr;64:3-10. doi: 10.1016/j.bpobgyn.2019.11.004. Epub 2019 Nov 14.","Somers EC","Best Pract Res Clin Obstet Gynaecol","2020","2020/03/17","","","10.1016/j.bpobgyn.2019.11.004"
"28080954","Sjögren Syndrome and Pregnancy: A Literature Review","Gupta S, Gupta N.","Perm J. 2017;21:16-047. doi: 10.7812/TPP/16-047. Epub 2016 Nov 9.","Gupta S","Perm J","2017","2017/01/13","PMC5267941","","10.7812/TPP/16-047"
"27142327","Pregnancy in women with systemic lupus erythematosus (SLE)","Moroni G, Ponticelli C.","Eur J Intern Med. 2016 Jul;32:7-12. doi: 10.1016/j.ejim.2016.04.005. Epub 2016 Apr 30.","Moroni G","Eur J Intern Med","2016","2016/05/05","","","10.1016/j.ejim.2016.04.005"
"34874750","Systemic erythematosus lupus and pregnancy outcomes in a Colombian cohort","Erazo-Martínez V, Nieto-Aristizábal I, Ojeda I, González M, Aragon CC, Zambrano MA, Tobón GJ, Arango J, Echeverri A, Aguirre-Valencia D.","Lupus. 2021 Dec;30(14):2310-2317. doi: 10.1177/09612033211061478. Epub 2021 Dec 7.","Erazo-Martínez V","Lupus","2021","2021/12/07","","","10.1177/09612033211061478"
"34693803","Systemic lupus erythematosus and pregnancy: A retrospective single-center study of 215 pregnancies from Portugal","Braga A, Barros T, Faria R, Marinho A, Carvalheira G, Rocha G, Farinha F, Neves E, Vasconcelos C, Braga J.","Lupus. 2021 Nov;30(13):2165-2175. doi: 10.1177/09612033211050340. Epub 2021 Oct 24.","Braga A","Lupus","2021","2021/10/25","","","10.1177/09612033211050340"
"24419751","Systemic lupus erythematosus and pregnancy outcomes: an update and review of the literature","Peart E, Clowse ME.","Curr Opin Rheumatol. 2014 Mar;26(2):118-23. doi: 10.1097/BOR.0000000000000030.","Peart E","Curr Opin Rheumatol","2014","2014/01/15","","","10.1097/BOR.0000000000000030"
"33589107","Pregnancy and Management in Women with Rheumatoid Arthritis, Systemic Lupus Erythematosus, and Obstetric Antiphospholipid Syndrome","Castro-Gutierrez A, Young K, Bermas BL.","Med Clin North Am. 2021 Mar;105(2):341-353. doi: 10.1016/j.mcna.2020.10.002.","Castro-Gutierrez A","Med Clin North Am","2021","2021/02/16","","","10.1016/j.mcna.2020.10.002"
"32902202","Pregnancy in systemic lupus erythematosus","Polić A, Običan SG.","Birth Defects Res. 2020 Sep;112(15):1115-1125. doi: 10.1002/bdr2.1790. Epub 2020 Sep 9.","Polić A","Birth Defects Res","2020","2020/09/09","","","10.1002/bdr2.1790"
"34221472","Pregnancy Outcomes in Systemic Lupus Erythematosus Women: A single tertiary centre experience","Al-Riyami N, Salman B, Al-Rashdi A, Al-Dughaishi T, Al-Haddabi R, Hassan B.","Sultan Qaboos Univ Med J. 2021 May;21(2):e244-e252. doi: 10.18295/squmj.2021.21.02.013. Epub 2021 Jun 21.","Al-Riyami N","Sultan Qaboos Univ Med J","2021","2021/07/05","PMC8219320","","10.18295/squmj.2021.21.02.013"
"27129743","Pregnancy and contraception in systemic and cutaneous lupus erythematosus","Guettrot-Imbert G, Morel N, Le Guern V, Plu-Bureau G, Frances C, Costedoat-Chalumeau N.","Ann Dermatol Venereol. 2016 Oct;143(10):590-600. doi: 10.1016/j.annder.2015.07.015. Epub 2016 Apr 26.","Guettrot-Imbert G","Ann Dermatol Venereol","2016","2016/05/01","","","10.1016/j.annder.2015.07.015"
"23917157","Pathogenesis of pregnancy complications in systemic lupus erythematosus","Ostensen M, Clowse M.","Curr Opin Rheumatol. 2013 Sep;25(5):591-6. doi: 10.1097/BOR.0b013e328363ebf7.","Ostensen M","Curr Opin Rheumatol","2013","2013/08/07","","","10.1097/BOR.0b013e328363ebf7"
"31733717","Pregnancy in Women With Systemic Lupus and Lupus Nephritis","Maynard S, Guerrier G, Duffy M.","Adv Chronic Kidney Dis. 2019 Sep;26(5):330-337. doi: 10.1053/j.ackd.2019.08.013.","Maynard S","Adv Chronic Kidney Dis","2019","2019/11/18","","","10.1053/j.ackd.2019.08.013"
"31553696","Pregnancy outcomes in systemic lupus erythematosus (SLE) women","Kalok A, Abdul Cader R, Indirayani I, Abdul Karim AK, Shah SA, Mohamed Ismail NA, Omar MH, Shafiee MN.","Horm Mol Biol Clin Investig. 2019 Sep 25;40(3):/j/hmbci.2019.40.issue-3/hmbci-2019-0007/hmbci-2019-0007.xml. doi: 10.1515/hmbci-2019-0007.","Kalok A","Horm Mol Biol Clin Investig","2019","2019/09/26","","","10.1515/hmbci-2019-0007"
"33463654","Maternal and Fetal Outcomes in Systemic Lupus Erythematosus Pregnancies","Poh YJ, Yii IYL, Goh LH, Li HH, Yang L, Tan HK, Thumboo J, Tan LK.","Ann Acad Med Singap. 2020 Dec;49(12):963-970. doi: 10.47102/annals-acadmedsg.2020373.","Poh YJ","Ann Acad Med Singap","2020","2021/01/19","","","10.47102/annals-acadmedsg.2020373"
"27506916","[Systemic lupus erythematosus and pregnancy]","Schreiber K, Lykke JA, Nielsen HS, Jacobsen S.","Ugeskr Laeger. 2016 Aug 1;178(31):V03160166.","Schreiber K","Ugeskr Laeger","2016","2016/08/11","","",""
"35400376","Pregnancy and Management in Women with Rheumatoid Arthritis, Systemic Lupus Erythematosus, and Obstetric Antiphospholipid Syndrome","Castro-Gutierrez A, Young K, Bermas BL.","Rheum Dis Clin North Am. 2022 May;48(2):523-535. doi: 10.1016/j.rdc.2022.02.009.","Castro-Gutierrez A","Rheum Dis Clin North Am","2022","2022/04/11","","","10.1016/j.rdc.2022.02.009"
"23773975","Evaluation and management of systemic lupus erythematosus and rheumatoid arthritis during pregnancy","Barbhaiya M, Bermas BL.","Clin Immunol. 2013 Nov;149(2):225-35. doi: 10.1016/j.clim.2013.05.006. Epub 2013 May 23.","Barbhaiya M","Clin Immunol","2013","2013/06/19","","","10.1016/j.clim.2013.05.006"
"34047174","[Pregnancy complications in women with systemic lupus erythematosus]","Skorpen CG, Salvesen KÅB, Palm Ø, Radtke M, Wallenius M.","Tidsskr Nor Laegeforen. 2021 May 25;141(8). doi: 10.4045/tidsskr.20.0596. Print 2021 May 25.","Skorpen CG","Tidsskr Nor Laegeforen","2021","2021/05/28","","","10.4045/tidsskr.20.0596"
"32660312","Adverse pregnancy outcomes among multi-ethnic systemic lupus erythematosus patients in Malaysia","Shaharir SS, Maulana SA, Shahril NS, Mohd R, Mustafar R, Said MSM, Rahman RA.","Lupus. 2020 Sep;29(10):1305-1313. doi: 10.1177/0961203320938871. Epub 2020 Jul 13.","Shaharir SS","Lupus","2020","2020/07/15","","","10.1177/0961203320938871"
"28678065","Pregnancy and reproductive aspects of systemic lupus erythematosus","Andreoli L, Crisafulli F, Tincani A.","Curr Opin Rheumatol. 2017 Sep;29(5):473-479. doi: 10.1097/BOR.0000000000000415.","Andreoli L","Curr Opin Rheumatol","2017","2017/07/06","","","10.1097/BOR.0000000000000415"
"33184707","Pregnancy rates and perinatal outcomes in women with systemic lupus erythematosus: data from the Korean national health claims database","Joo YB, Kim KJ, Park KS, Park YJ.","Clin Rheumatol. 2021 Jun;40(6):2243-2250. doi: 10.1007/s10067-020-05496-4. Epub 2020 Nov 12.","Joo YB","Clin Rheumatol","2021","2020/11/13","","","10.1007/s10067-020-05496-4"
"30056945","Safety issues and recommendations for successful pregnancy outcome in systemic lupus erythematosus","Nahal SK, Selmi C, Gershwin ME.","J Autoimmun. 2018 Sep;93:16-23. doi: 10.1016/j.jaut.2018.07.016. Epub 2018 Jul 27.","Nahal SK","J Autoimmun","2018","2018/07/31","","","10.1016/j.jaut.2018.07.016"
"22204899","Pregnancy implications for systemic lupus erythematosus and the antiphospholipid syndrome","Andreoli L, Fredi M, Nalli C, Reggia R, Lojacono A, Motta M, Tincani A.","J Autoimmun. 2012 May;38(2-3):J197-208. doi: 10.1016/j.jaut.2011.11.010. Epub 2011 Dec 26.","Andreoli L","J Autoimmun","2012","2011/12/30","","","10.1016/j.jaut.2011.11.010"
"30352455","Systemic Lupus Erythematosus and Pregnancy: A Single-Center Observational Study of 69 Pregnancies","Naseri EP, Surita FG, Borovac-Pinheiro A, Santos M, Appenzeller S, Costallat LTL.","Rev Bras Ginecol Obstet. 2018 Oct;40(10):587-592. doi: 10.1055/s-0038-1672136. Epub 2018 Oct 23.","Naseri EP","Rev Bras Ginecol Obstet","2018","2018/10/24","","","10.1055/s-0038-1672136"
"33515791","Hydroxychloroquine in systemic and autoimmune diseases: Where are we now?","Dima A, Jurcut C, Arnaud L.","Joint Bone Spine. 2021 May;88(3):105143. doi: 10.1016/j.jbspin.2021.105143. Epub 2021 Jan 28.","Dima A","Joint Bone Spine","2021","2021/01/30","","","10.1016/j.jbspin.2021.105143"
"30008449","Preconceptional Cardiovascular Health and Pregnancy Outcomes in Women with Systemic Lupus Erythematosus","Eudy AM, Siega-Riz AM, Engel SM, Franceschini N, Howard AG, Clowse MEB, Petri M.","J Rheumatol. 2019 Jan;46(1):70-77. doi: 10.3899/jrheum.171066. Epub 2018 Jul 15.","Eudy AM","J Rheumatol","2019","2018/07/17","PMC6314889","NIHMS971965","10.3899/jrheum.171066"
"31444781","Prediction of Adverse Pregnancy Outcomes in Women with Systemic Lupus Erythematosus","Palma Dos Reis CR, Cardoso G, Carvalho C, Nogueira I, Borges A, Serrano F.","Clin Rev Allergy Immunol. 2020 Dec;59(3):287-294. doi: 10.1007/s12016-019-08762-9.","Palma Dos Reis CR","Clin Rev Allergy Immunol","2020","2019/08/25","","","10.1007/s12016-019-08762-9"
"33751514","Pregnancy outcomes in different stages of systemic lupus erythematosus among Chinese women - a retrospective cohort study","Lu Y, Yu Y, Xia W, Chen D, Wu X, Cheng T.","Ginekol Pol. 2021;92(5):365-370. doi: 10.5603/GP.a2020.0151. Epub 2021 Mar 10.","Lu Y","Ginekol Pol","2021","2021/03/22","","","10.5603/GP.a2020.0151"
"31133364","Autoimmunity in obstetrics and autoimmune diseases in pregnancy","De Carolis S, Moresi S, Rizzo F, Monteleone G, Tabacco S, Salvi S, Garufi C, Lanzone A.","Best Pract Res Clin Obstet Gynaecol. 2019 Oct;60:66-76. doi: 10.1016/j.bpobgyn.2019.03.003. Epub 2019 Mar 18.","De Carolis S","Best Pract Res Clin Obstet Gynaecol","2019","2019/05/29","","","10.1016/j.bpobgyn.2019.03.003"
"31551036","Systemic lupus erythematosus and pregnancy: the challenge of improving antenatal care and outcomes","Pastore DEA, Costa ML, Surita FG.","Lupus. 2019 Oct;28(12):1417-1426. doi: 10.1177/0961203319877247. Epub 2019 Sep 24.","Pastore DEA","Lupus","2019","2019/09/26","","","10.1177/0961203319877247"
"29433371","Pregnancy complicated by systemic lupus erythematosus and its outcome over 10 years","Khan A, Thomas M, P K SD.","J Obstet Gynaecol. 2018 May;38(4):476-481. doi: 10.1080/01443615.2017.1381673. Epub 2018 Feb 12.","Khan A","J Obstet Gynaecol","2018","2018/02/14","","","10.1080/01443615.2017.1381673"
"23534598","[Systemic lupus erythematosus and pregnancy]","Diniz-da-Costa T, Centeno M, Pinto L, Marques A, Mendes-Graça L.","Acta Med Port. 2012 Nov-Dec;25(6):448-53. Epub 2013 Jan 28.","Diniz-da-Costa T","Acta Med Port","2012","2013/03/29","","",""
"35090611","Pregnancy and systemic lupus erythematosus in Spain: Has anything changed in the 21st century?","de la Hera Madrazo M, Muñoz Cacho P, Riancho Zarrabeitia L, Álvarez Rodríguez L, Haya A, López-Hoyos M, Martínez-Taboada VM.","Reumatol Clin (Engl Ed). 2022 Jan;18(1):42-48. doi: 10.1016/j.reumae.2020.07.008. Epub 2021 Mar 24.","de la Hera Madrazo M","Reumatol Clin (Engl Ed)","2022","2022/01/29","","","10.1016/j.reumae.2020.07.008"
"34519994","Systemic Lupus Erythematosus and Pregnancy: a Portuguese Case-Control Study","Braga A, Barros T, Faria R, Marinho A, Rocha G, Farinha F, Neves E, Vasconcelos C, Braga J.","Clin Rev Allergy Immunol. 2022 Apr;62(2):324-332. doi: 10.1007/s12016-021-08893-y. Epub 2021 Sep 14.","Braga A","Clin Rev Allergy Immunol","2022","2021/09/14","","","10.1007/s12016-021-08893-y"
"33715506","Systemic lupus erythematosus and COVID-19 during pregnancy","Smeele HT, Perez-Garcia LF, Grimminck K, Schoenmakers S, Mulders AG, Dolhain RJ.","Lupus. 2021 Jun;30(7):1188-1191. doi: 10.1177/09612033211002270. Epub 2021 Mar 14.","Smeele HT","Lupus","2021","2021/03/15","PMC8120627","","10.1177/09612033211002270"
"28120818","Pregnancy and menopause in patients with systemic lupus erythematosus and/or antiphospholipid syndrome. Practical messages from the EULAR guidelines","Vagelli R, Tani C, Mosca M.","Pol Arch Intern Med. 2017 Jan 25;127(2):115-121. doi: 10.20452/pamw.3906. Epub 2017 Jan 25.","Vagelli R","Pol Arch Intern Med","2017","2017/01/26","","","10.20452/pamw.3906"
"31754886","Preeclampsia in systemic lupus erythematosus pregnancy: a systematic review and meta-analysis","Dong Y, Yuan F, Dai Z, Wang Z, Zhu Y, Wang B.","Clin Rheumatol. 2020 Feb;39(2):319-325. doi: 10.1007/s10067-019-04823-8. Epub 2019 Nov 21.","Dong Y","Clin Rheumatol","2020","2019/11/23","","","10.1007/s10067-019-04823-8"
"27377453","A comprehensive review of the clinical approach to pregnancy and systemic lupus erythematosus","Lazzaroni MG, Dall'Ara F, Fredi M, Nalli C, Reggia R, Lojacono A, Ramazzotto F, Zatti S, Andreoli L, Tincani A.","J Autoimmun. 2016 Nov;74:106-117. doi: 10.1016/j.jaut.2016.06.016. Epub 2016 Jul 2.","Lazzaroni MG","J Autoimmun","2016","2016/07/06","","","10.1016/j.jaut.2016.06.016"
"32540928","Outcomes of pregnancy and associated factors in sub-Saharan African women with systemic lupus erythematosus: a scoping review","Essouma M, Nkeck JR, Motolouze K, Bigna JJ, Tchaptchet P, Nkoro GA, Ralandison S, Hachulla E.","Lupus Sci Med. 2020 Jun;7(1):e000400. doi: 10.1136/lupus-2020-000400.","Essouma M","Lupus Sci Med","2020","2020/06/17","PMC7295444","","10.1136/lupus-2020-000400"
"30175398","Pharmacological Approach to Managing Childhood-Onset Systemic Lupus Erythematosus During Conception, Pregnancy and Breastfeeding","Bitencourt N, Bermas BL.","Paediatr Drugs. 2018 Dec;20(6):511-521. doi: 10.1007/s40272-018-0312-2.","Bitencourt N","Paediatr Drugs","2018","2018/09/04","","","10.1007/s40272-018-0312-2"
"34266321","Predictive factors of fetal and maternal pregnancy outcomes in Japanese patients with systemic lupus erythematosus","Irino K, Arinobu Y, Ayano M, Kawano S, Kimoto Y, Mitoma H, Akahoshi M, Akashi K, Horiuchi T, Niiro H.","Lupus. 2021 Sep;30(10):1637-1643. doi: 10.1177/09612033211031989. Epub 2021 Jul 16.","Irino K","Lupus","2021","2021/07/16","","","10.1177/09612033211031989"
"22882219","Flares of systemic lupus erythematosus during pregnancy and the puerperium: prevention, diagnosis and management","Stojan G, Baer AN.","Expert Rev Clin Immunol. 2012 Jul;8(5):439-53. doi: 10.1586/eci.12.36.","Stojan G","Expert Rev Clin Immunol","2012","2012/08/14","","","10.1586/eci.12.36"
"31271468","Antiphospholipid syndrome: a clinical review","Mezhov V, Segan JD, Tran H, Cicuttini FM.","Med J Aust. 2019 Aug;211(4):184-188. doi: 10.5694/mja2.50262. Epub 2019 Jul 4.","Mezhov V","Med J Aust","2019","2019/07/05","","","10.5694/mja2.50262"
"34013819","Risk of adverse pregnancy outcomes in Japanese systemic lupus erythematosus patients with prior severe organ manifestations: A single-center retrospective analysis","Nakai T, Kitada A, Fukui S, Okada M.","Lupus. 2021 Aug;30(9):1415-1426. doi: 10.1177/09612033211016074. Epub 2021 May 20.","Nakai T","Lupus","2021","2021/05/20","","","10.1177/09612033211016074"
"25924546","Pregnancy outcomes of women with coexisting systemic lupus erythematosus flare and preeclampsia","Aoki S, Mochimaru A, Yamamoto Y, Kurasawa K, Takahashi T, Hirahara F.","Mod Rheumatol. 2015 May;25(3):410-4. doi: 10.3109/14397595.2014.979522.","Aoki S","Mod Rheumatol","2015","2015/05/01","","","10.3109/14397595.2014.979522"
"28256367","Impact of systemic lupus erythematosus on maternal and fetal outcomes following pregnancy: A meta-analysis of studies published between years 2001-2016","Bundhun PK, Soogund MZ, Huang F.","J Autoimmun. 2017 May;79:17-27. doi: 10.1016/j.jaut.2017.02.009. Epub 2017 Feb 28.","Bundhun PK","J Autoimmun","2017","2017/03/04","","","10.1016/j.jaut.2017.02.009"
"33200742","The global antiphospholipid syndrome score in women with systemic lupus erythematosus and adverse pregnancy outcomes","Schreiber K, Radin M, Cecchi I, Rubini E, Roccatello D, Jacobsen S, Cuadrado MJ, Sciascia S.","Clin Exp Rheumatol. 2021 Sep-Oct;39(5):1071-1076. doi: 10.55563/clinexprheumatol/c96ief. Epub 2020 Nov 12.","Schreiber K","Clin Exp Rheumatol","2021","2020/11/17","","","10.55563/clinexprheumatol/c96ief"
"30933534","Clinical outcomes and predictors of maternal and fetal complications in pregnancies of patients with systemic lupus erythematosus","Larosa M, Del Ross T, Calligaro A, Favaro M, Zanatta E, Iaccarino L, Doria A.","Expert Rev Clin Immunol. 2019 Jun;15(6):617-627. doi: 10.1080/1744666X.2019.1601557. Epub 2019 Apr 19.","Larosa M","Expert Rev Clin Immunol","2019","2019/04/02","","","10.1080/1744666X.2019.1601557"
"26573551","Pregnancy and Lupus Nephritis","Kattah AG, Garovic VD.","Semin Nephrol. 2015 Sep;35(5):487-99. doi: 10.1016/j.semnephrol.2015.08.010.","Kattah AG","Semin Nephrol","2015","2015/11/18","","","10.1016/j.semnephrol.2015.08.010"
"32156669","[Obstetrics complications of systemic lupus erythematosus and antiphospholipid syndrome: A multidisciplinary management]","Mattuizzi A, Madar H, Froeliger A, Houssin C, Chabanier P, Merlot B, Lazaro E, Elleboode B, Sentilhes L.","Gynecol Obstet Fertil Senol. 2020 May;48(5):448-452. doi: 10.1016/j.gofs.2020.03.005. Epub 2020 Mar 7.","Mattuizzi A","Gynecol Obstet Fertil Senol","2020","2020/03/12","","","10.1016/j.gofs.2020.03.005"
"28705036","Pregnancy outcomes among women with systemic lupus erythematosus: a retrospective cohort study from Thailand","Phansenee S, Sekararithi R, Jatavan P, Tongsong T.","Lupus. 2018 Jan;27(1):158-164. doi: 10.1177/0961203317721353. Epub 2017 Jul 14.","Phansenee S","Lupus","2018","2017/07/15","","","10.1177/0961203317721353"
"29654043","Pregnancy outcomes among Chinese women with and without systemic lupus erythematosus: a retrospective cohort study","Wu J, Ma J, Bao C, Di W, Zhang WH.","BMJ Open. 2018 Apr 13;8(4):e020909. doi: 10.1136/bmjopen-2017-020909.","Wu J","BMJ Open","2018","2018/04/15","PMC5905749","","10.1136/bmjopen-2017-020909"
"24464962","Morbidity and mortality in the antiphospholipid syndrome during a 10-year period: a multicentre prospective study of 1000 patients","Cervera R, Serrano R, Pons-Estel GJ, Ceberio-Hualde L, Shoenfeld Y, de Ramón E, Buonaiuto V, Jacobsen S, Zeher MM, Tarr T, Tincani A, Taglietti M, Theodossiades G, Nomikou E, Galeazzi M, Bellisai F, Meroni PL, Derksen RH, de Groot PG, Baleva M, Mosca M, Bombardieri S, Houssiau F, Gris JC, Quéré I, Hachulla E, Vasconcelos C, Fernández-Nebro A, Haro M, Amoura Z, Miyara M, Tektonidou M, Espinosa G, Bertolaccini ML, Khamashta MA; Euro-Phospholipid Project Group (European Forum on Antiphospholipid Antibodies).","Ann Rheum Dis. 2015 Jun;74(6):1011-8. doi: 10.1136/annrheumdis-2013-204838. Epub 2014 Jan 24.","Cervera R","Ann Rheum Dis","2015","2014/01/28","","","10.1136/annrheumdis-2013-204838"
"33952625","Effectiveness of a multidisciplinary clinical pathway for women with systemic lupus erythematosus and/or antiphospholipid syndrome","Wind M, Hendriks M, van Brussel BTJ, Eikenboom J, Allaart CF, Lamb HJ, Siebelink HJ, Ninaber MK, van Geloven N, van Lith JMM, Huizinga TWJ, Rabelink TJ, Sueters M, Teng YKO.","Lupus Sci Med. 2021 May;8(1):e000472. doi: 10.1136/lupus-2020-000472.","Wind M","Lupus Sci Med","2021","2021/05/06","PMC8103373","","10.1136/lupus-2020-000472"
"29661199","Adverse pregnancy outcomes in adolescents and young women with systemic lupus erythematosus: a national estimate","Ling N, Lawson E, von Scheven E.","Pediatr Rheumatol Online J. 2018 Apr 16;16(1):26. doi: 10.1186/s12969-018-0242-0.","Ling N","Pediatr Rheumatol Online J","2018","2018/04/18","PMC5902884","","10.1186/s12969-018-0242-0"
"30676534","Systemic lupus erythematosus in pregnancy: high risk, high reward","Do SC, Druzin ML.","Curr Opin Obstet Gynecol. 2019 Apr;31(2):120-126. doi: 10.1097/GCO.0000000000000528.","Do SC","Curr Opin Obstet Gynecol","2019","2019/01/25","","","10.1097/GCO.0000000000000528"
"34502221","An Overview of Neonatal Lupus with Anti-Ro Characteristics","Gryka-Marton M, Szukiewicz D, Teliga-Czajkowska J, Olesinska M.","Int J Mol Sci. 2021 Aug 27;22(17):9281. doi: 10.3390/ijms22179281.","Gryka-Marton M","Int J Mol Sci","2021","2021/09/10","PMC8431034","","10.3390/ijms22179281"
"27686021","Management of Systemic Lupus Erythematosus During Pregnancy","Sammaritano LR.","Annu Rev Med. 2017 Jan 14;68:271-285. doi: 10.1146/annurev-med-042915-102658. Epub 2016 Sep 21.","Sammaritano LR","Annu Rev Med","2017","2016/10/01","","","10.1146/annurev-med-042915-102658"
"34390384","Biochemical and clinical predictors in pregnant women with antiphospholipid syndrome and systemic lupus erythematosus: comprehensive update","Li X, Shopit A, Wang J.","Arch Gynecol Obstet. 2021 Nov;304(5):1153-1160. doi: 10.1007/s00404-021-06178-5. Epub 2021 Aug 14.","Li X","Arch Gynecol Obstet","2021","2021/08/14","","","10.1007/s00404-021-06178-5"
"33592909","Predicting factors of adverse pregnancy outcomes in Thai patients with systemic lupus erythematosus: A STROBE-compliant study","Louthrenoo W, Trongkamolthum T, Kasitanon N, Wongthanee A.","Medicine (Baltimore). 2021 Feb 5;100(5):e24553. doi: 10.1097/MD.0000000000024553.","Louthrenoo W","Medicine (Baltimore)","2021","2021/02/17","PMC7870266","","10.1097/MD.0000000000024553"
"33407042","Risk factors associated with adverse pregnancy outcomes in patients with new-onset systemic lupus erythematosus during pregnancy","Chen J, Xiao ZZ, Shi Q, Wang HM, He F, Zhang JY.","Lupus. 2021 Mar;30(3):393-402. doi: 10.1177/0961203320980531. Epub 2021 Jan 6.","Chen J","Lupus","2021","2021/01/07","","","10.1177/0961203320980531"
"31542218","Autoimmune diseases and pregnancy","Tincani A, Nalli C, Khizroeva J, Bitsadze V, Lojacono A, Andreoli L, Shoenfeld Y, Makatsariya A.","Best Pract Res Clin Endocrinol Metab. 2019 Dec;33(6):101322. doi: 10.1016/j.beem.2019.101322. Epub 2019 Sep 11.","Tincani A","Best Pract Res Clin Endocrinol Metab","2019","2019/09/23","","","10.1016/j.beem.2019.101322"
"22753385","Second pregnancy outcomes for women with systemic lupus erythematosus","Shand AW, Algert CS, March L, Roberts CL.","Ann Rheum Dis. 2013 Apr;72(4):547-51. doi: 10.1136/annrheumdis-2011-201210. Epub 2012 Jun 29.","Shand AW","Ann Rheum Dis","2013","2012/07/04","","","10.1136/annrheumdis-2011-201210"
"32311994","Maternal and fetal complications associated with systemic lupus erythematosus: An updated meta-analysis of the most recent studies (2017-2019)","He WR, Wei H.","Medicine (Baltimore). 2020 Apr;99(16):e19797. doi: 10.1097/MD.0000000000019797.","He WR","Medicine (Baltimore)","2020","2020/04/22","PMC7440247","","10.1097/MD.0000000000019797"
